managerID,teamID,startDate,endDate
199,101,2013-09-01,2016-06-01
18,102,2019-10-01,2021-07-01
162,102,2019-06-01,2019-10-01
200,102,2016-07-01,2019-06-01
120,102,2015-11-01,2016-07-01
102,102,2015-06-01,2015-11-01
169,102,2013-11-01,2015-06-01
201,103,2017-07-01,
202,103,2015-11-01,2017-07-01
202,103,2014-06-01,2015-09-01
189,104,2018-07-01,2021-07-01
182,104,2017-11-01,2018-07-01
204,104,2017-06-01,2017-11-01
162,104,2014-03-01,2017-06-01
162,104,2012-06-01,2014-01-01
205,105,2019-12-01,2021-05-01
11,105,2018-05-01,2019-12-01
41,105,2015-06-01,2018-05-01
58,105,2013-05-01,2015-06-01
40,106,2019-05-01,2021-07-01
163,106,2017-06-01,2019-05-01
167,106,2016-11-01,2017-05-01
208,106,2016-08-01,2016-11-01
209,106,2014-11-01,2016-08-01
81,106,2013-05-01,2014-11-01
199,107,2016-06-01,
168,107,2015-03-01,2016-06-01
184,107,2010-06-01,2015-03-01
210,108,2019-11-01,2021-06-01
204,108,2019-06-01,2019-11-01
197,108,2017-12-01,2019-06-01
211,108,2017-06-01,2017-12-01
200,108,2016-09-01,2017-06-01
212,108,2016-05-01,2016-09-01
200,108,2015-06-01,2016-05-01
41,108,2013-07-01,2015-06-01
136,109,2018-11-01,
214,109,2018-04-01,2018-10-01
195,109,2014-10-01,2018-04-01
188,109,2013-11-01,2014-10-01
198,110,2020-11-01,2021-07-01
182,110,2019-12-01,2020-11-01
120,110,2019-04-01,2019-12-01
167,110,2017-06-01,2019-04-01
215,110,2015-06-01,2017-06-01
120,110,2012-06-01,2015-06-01
167,111,2019-10-01,
200,111,2019-07-01,2019-10-01
120,111,2017-12-01,2019-07-01
205,111,2017-11-01,2019-05-01
120,111,2016-06-01,2017-11-01
169,111,2015-06-01,2016-06-01
170,111,2014-06-01,2015-06-01
129,111,2014-01-01,2014-06-01
164,112,2019-06-01,
191,112,2018-12-01,2019-06-01
192,112,2017-06-01,2018-12-01
193,112,2012-07-01,2016-06-01
200,113,2020-08-01,2021-07-01
192,113,2020-02-01,2020-08-01
81,113,2018-01-01,2020-02-01
169,113,2016-05-01,2018-01-01
213,113,2012-07-01,2016-05-01
181,114,2020-08-01,2020-11-01
194,114,2020-01-01,2020-07-01
203,114,2019-06-01,2020-01-01
207,114,2018-04-01,2019-06-01
216,114,2017-02-01,2018-03-01
181,114,2015-05-01,2017-02-01
191,114,2014-07-01,2015-05-01
221,114,2014-02-01,2014-06-01
233,115,2018-12-01,2021-03-01
181,115,2018-11-01,2018-12-01
233,115,2018-06-01,2018-10-01
102,115,2017-12-01,2018-06-01
179,115,2016-07-01,2017-12-01
157,115,2015-07-01,2016-06-01
234,115,2012-01-01,2015-06-01
162,116,2020-08-01,2021-02-01
102,116,2020-03-01,2020-08-01
195,116,2018-07-01,2020-03-01
173,116,2017-10-01,2018-06-01
239,116,2015-06-01,2017-10-01
240,116,2014-12-01,2015-03-01
216,116,2014-07-01,2014-12-01
241,116,2014-04-01,2014-06-01
173,116,2013-07-01,2014-04-01
242,117,2019-11-01,2021-06-01
243,117,2018-07-01,2019-11-01
244,117,2017-10-01,2018-06-01
11,117,2016-07-01,2017-09-01
61,117,2013-07-01,2016-06-01
245,118,2020-07-01,2021-05-01
246,118,2019-07-01,2020-06-01
247,118,2018-10-01,2019-06-01
248,118,2018-03-01,2018-10-01
249,118,2016-09-01,2018-01-01
250,118,2015-04-01,2016-09-01
251,118,2014-09-01,2015-03-01
252,118,2014-02-01,2014-09-01
253,118,2013-09-01,2014-02-01
254,119,2018-12-01,2021-03-01
255,119,2017-07-01,2018-12-01
256,119,2017-03-01,2017-06-01
257,119,2014-07-01,2017-03-01
229,119,2014-04-01,2014-06-01
92,119,2013-07-01,2014-04-01
259,120,2020-08-01,2022-06-01
260,120,2019-07-01,2020-06-01
261,120,2016-02-01,2019-06-01
262,120,2015-10-01,2016-02-01
249,120,2013-04-01,2015-10-01
255,121,2020-03-01,2021-04-01
263,121,2019-04-01,2020-03-01
264,121,2016-12-01,2019-04-01
265,121,2016-07-01,2016-12-01
266,121,2012-07-01,2016-06-01
250,122,2020-04-01,2021-01-01
267,122,2020-02-01,2020-04-01
268,122,2019-11-01,2020-02-01
269,122,2019-07-01,2019-11-01
270,122,2015-02-01,2019-06-01
271,122,2012-07-01,2015-02-01
272,123,2017-11-01,2021-05-01
267,123,2016-10-01,2017-10-01
273,123,2014-10-01,2016-09-01
274,123,2013-07-01,2014-10-01
275,124,2020-12-01,2021-02-01
264,124,2020-09-01,2020-12-01
88,124,2019-07-01,2020-09-01
262,124,2019-03-01,2019-06-01
276,124,2017-07-01,2019-03-01
266,124,2016-07-01,2017-06-01
277,124,2015-07-01,2016-06-01
4,124,2014-10-01,2015-05-01
228,124,2012-12-01,2014-10-01
278,125,2020-09-01,2020-12-01
279,125,2019-11-01,2020-09-01
280,125,2017-07-01,2019-11-01
263,125,2015-02-01,2017-05-01
281,125,2014-07-01,2015-02-01
43,125,2009-08-01,2014-05-01
282,126,2019-04-01,2021-09-01
228,126,2018-12-01,2019-04-01
267,126,2018-09-01,2018-11-01
283,126,2017-08-01,2018-09-01
284,126,2016-11-01,2017-08-01
16,126,2013-10-01,2016-11-01
286,127,2020-07-01,2021-05-01
287,127,2019-02-01,2020-06-01
265,127,2017-12-01,2019-02-01
288,127,2016-12-01,2017-12-01
143,127,2016-07-01,2016-12-01
265,127,2012-12-01,2016-06-01
289,128,2019-11-01,2021-06-01
252,128,2019-07-01,2019-11-01
290,128,2019-01-01,2019-06-01
277,128,2017-03-01,2019-01-01
291,128,2016-04-01,2017-03-01
292,128,2016-01-01,2016-04-01
293,128,2015-04-01,2015-12-01
256,128,2014-01-01,2015-04-01
294,129,2018-07-01,2020-12-01
295,129,2017-12-01,2018-06-01
254,129,2017-07-01,2017-12-01
43,129,2015-07-01,2017-05-01
59,129,2008-07-01,2015-06-01
296,130,2019-07-01,2021-06-01
246,130,2016-12-01,2019-06-01
297,130,2015-11-01,2016-12-01
294,130,2011-02-01,2015-09-01
298,131,2019-07-01,2021-06-01
250,131,2018-02-01,2019-06-01
263,131,2017-09-01,2018-02-01
299,131,2017-02-01,2017-09-01
300,131,2016-11-01,2017-02-01
246,131,2013-01-01,2016-10-01
301,132,2018-07-01,2021-06-01
