playerID,name,country,born
854,Cheick Tiote,Côte d'Ivoire,1986
774,Siem de Jong,Jersey,1989
773,Aleksandar Mitrovic,Serbia,1994
846,Maarten Stekelenburg,Jersey,1982
847,Cedric Soares,Portugal,1991
845,Maya Yoshida,Japan,1988
834,Jose Fonte,Portugal,1983
884,Matt Targett,England,1995
836,Victor Wanyama,Kenya,1991
883,Steven Davis,Jersey,1985
840,Dusan Tadic,Serbia,1988
838,Sadio Mane,Senegal,1992
844,Jay Rodriguez,England,1989
841,Graziano Pelle,Italy,1985
839,Shane Long,Ireland,1987
832,Cuco Martina,Curaçao,1989
491,Petr Cech,Czechia,1982
967,Mathieu Debuchy,France,1985
507,Per Mertesacker,Germany,1984
494,Laurent Koscielny,France,1985
495,Nacho Monreal,Spain,1986
504,Aaron Ramsey,Jersey,1990
497,Francis Coquelin,France,1991
966,Alex Oxlade-Chamberlain,England,1993
499,Mesut Ozil,Germany,1988
965,Santiago Cazorla,San Marino,2004
502,Olivier Giroud,France,1986
503,Theo Walcott,England,1989
498,Alexis Sanchez,Jersey,1988
527,Adrian,Spain,1987
530,James Tomkins,England,1989
528,Angelo Ogbonna,Italy,1988
529,Winston Reid,New Zealand,1988
534,Aaron Cresswell,England,1989
532,Cheikhou Kouyate,Senegal,1989
533,Mark Noble,England,1987
543,Reece Oxford,England,1998
939,Mauro Zarate,Argentina,1987
656,Diafra Sakho,Senegal,1989
536,Dimitri Payet,France,1987
1029,Modibo Maiga,Mali,1987
1028,Kevin Nolan,England,1982
800,Matthew Jarvis,San Marino,2004
856,Jack Butland,England,1993
944,Glen Johnson,England,1984
860,Marc Muniesa,Spain,1992
859,Geoff Cameron,United States of America (the),1985
887,Erik Pieters,Jersey,1988
862,Glenn Whelan,Ireland,1984
946,Marco van Ginkel,Jersey,1992
863,Jonathan Walters,Ireland,1983
873,Charlie Adam,Scotland,1985
864,Ibrahim Afellay,Jersey,1986
868,Mame Biram Diouf,Senegal,1987
1007,Steve Sidwell,England,1982
858,Philipp Wollscheid,Germany,1989
1001,Peter Odemwingie,Nigeria,1981
487,Simon Mignolet,Belgium,1988
603,Nathaniel Clyne,England,1991
602,Dejan Lovren,Jersey,1989
607,Martin Skrtel,Slovakia,1984
987,Joseph Gomez,San Marino,2004
489,James Milner,England,1986
605,Jordan Henderson,England,1990
481,Jordon Ibe,England,1995
488,Philippe Coutinho,Brazil,1992
486,Adam Lallana,England,1988
606,Christian Benteke,Belgium,1990
482,Roberto Firmino,Brazil,1991
604,Emre Can,Germany,1994
820,Boaz Myhill,Jersey,1982
819,James Chester,Jersey,1989
664,Joleon Lescott,England,1982
804,Craig Dawson,England,1990
904,Chris Brunt,Jersey,1984
812,Craig Gardner,England,1986
990,James Morrison,Scotland,1986
809,Darren Fletcher,Scotland,1984
814,James McClean,Ireland,1989
811,Saido Berahino,Burundi,1993
816,Rickie Lambert,England,1982
880,Callum McManaman,England,1991
808,Claudio Yacob,Argentina,1987
818,Victor Anichebe,Nigeria,1988
609,Joe Hart,England,1987
625,Bacary Sagna,France,1983
612,Vincent Kompany,Belgium,1986
626,Eliaquim Mangala,France,1991
621,Aleksandar Kolarov,Serbia,1985
614,Fernandinho,Brazil,1985
878,Yaya Toure,Côte d'Ivoire,1983
616,Jesus Navas,Spain,1985
617,David Silva,Spain,1986
618,Raheem Sterling,England,1994
622,Wilfried Bony,Côte d'Ivoire,1988
877,Samir Nasri,France,1987
623,Martin Demichelis,Argentina,1980
619,Sergio Aguero,Argentina,1988
323,Adnan Januzaj,Belgium,1995
842,Oriol Romeu,Spain,1991
843,James Ward-Prowse,England,1994
591,Gerard Deulofeu,Spain,1994
977,Tyias Browning,China,1994
732,Yann M'Vila,France,1990
932,Danny Graham,England,1985
919,Duncan Watmore,England,1994
796,Gary O'Neil,England,1983
783,Nathan Dyer,England,1987
830,Leon Britton,England,1982
765,Steven Taylor,England,1986
915,Rolando Aarons,England,1995
637,Hugo Lloris,France,1986
865,Marko Arnautovic,Austria,1989
867,Stephen Ireland,Ireland,1986
866,Joselu,Spain,1990
569,Almen Abdi,Switzerland,1986
744,Steven Berghuis,Jersey,1991
805,Jonas Olsson,Sweden,1983
806,Gareth McAuley,Jersey,1979
813,Salomun Rondun,San Marino,2004
938,Carl Jenkinson,England,1992
542,Pedro Obiang,Jersey,1992
535,Manuel Lanzini,Argentina,1993
526,Lee Chung-yong,Korea (the Republic of),1988
822,Patrick Bamford,England,1993
492,Hector Bellerin,Spain,1995
545,Kieran Gibbs,England,1989
970,Mikel Arteta,Spain,1982
936,Ramires,Brazil,1987
1089,Juan Cuadrado,Colombia,1988
608,Alberto Moreno,Spain,1992
975,Lee Tomlin,England,1989
825,Adam Smith,England,1991
191,Chicharito,San Marino,2004
770,Ayoze Perez,Spain,1993
942,Florian Thauvin,France,1993
888,Xherdan Shaqiri,Switzerland,1991
729,John O'Shea,Ireland,1981
520,Bakary Sako,Mali,1988
743,Dwight Gayle,England,1990
675,Jack Grealish,England,1995
900,Adama Traore,Mali,1995
900,Adama Traore,Spain,1996
761,Gokhan Inler,Switzerland,1984
756,Leonardo Ulloa,Argentina,1986
653,Tom Carroll,England,1992
540,Darren Randolph,Ireland,1987
993,Serge Gnabry,Germany,1995
687,Pedro,Spain,1987
687,Pedro,Brazil,1997
685,John Obi Mikel,Nigeria,1987
876,Fabian Delph,England,1989
948,Alessandro Diamanti,Italy,1983
953,Steven Caulker,Sierra Leone,1991
508,Calum Chambers,England,1995
493,Gabriel,Brazil,1992
493,Gabriel,Brazil,1993
475,Lucas Leiva,Brazil,1987
988,Jordan Rossiter,England,1997
945,Marc Wilson,Ireland,1987
855,Cristian Gamboa,Jersey,1989
663,Alan Hutton,Scotland,1984
670,Carles Gil,Spain,1992
739,Ola Toivonen,Sweden,1986
1024,Tyrone Mings,England,1993
999,Joseph Dodoo,San Marino,2004
688,Ruben Loftus-Cheek,England,1996
689,Kenedy,Brazil,1996
517,Joe Ledley,Jersey,1987
986,Danny Ings,England,1992
1018,Josh Cullen,Ireland,1996
620,Kelechi Iheanacho,Nigeria,1996
641,Danny Rose,England,1990
815,Alex Pritchard,England,1993
897,Juanmi,Spain,1993
894,Andre Wisdom,England,1993
964,Kyle Bartley,England,1991
630,Marouane Fellaini,Belgium,1987
908,Muhamed Besic,Bosnia and Herzegovina,1992
597,Ramiro Funes Mori,Argentina,1991
593,Aaron Lennon,England,1987
857,Phil Bardsley,Scotland,1985
871,Bojan,San Marino,2004
525,Martin Kelly,England,1990
933,Brede Hangeland,Norway,1981
447,Kevin De Bruyne,Belgium,1991
807,Jonny Evans,Jersey,1988
833,Virgil van Dijk,Jersey,1991
795,Dieumerci Mbokani,Congo (the Democratic Republic of the),1985
798,Martin Olsson,Sweden,1988
463,Junior Stanislas,England,1989
546,David de Gea,Spain,1990
553,Anthony Martial,France,1995
484,Divock Origi,Belgium,1995
931,Jordi Gumez,San Marino,2004
737,Fabio Borini,Italy,1991
453,Son Heung-Min,San Marino,2004
775,Andros Townsend,England,1991
541,Victor Moses,Nigeria,1990
537,Andy Carroll,England,1989
690,LoLc Remy,San Marino,2004
583,Adlene Guedioura,Algeria,1985
579,Nathan Ake,Jersey,1995
828,Sylvain Distin,France,1977
872,Peter Crouch,England,1981
720,Modou Barrow,Jersey,1992
611,Nicolas Otamendi,Argentina,1988
531,Michail Antonio,Jamaica,1990
655,James Collins,Jersey,1983
940,Nikica Jelavic,Jersey,1985
960,Clinton N'Jie,Cameroon,1993
634,Fraizer Campbell,England,1987
550,Marcos Rojo,Argentina,1990
559,Paddy McNair,Jersey,1995
485,Mamadou Sakho,France,1990
483,Daniel Sturridge,England,1989
624,Willy Caballero,Argentina,1981
615,Fernando,Brazil,1987
615,Fernando,Brazil,1992
925,Patrick Roberts,England,1997
835,Ryan Bertrand,England,1989
956,Andrej Kramaric,Jersey,1991
895,Mathieu Flamini,France,1984
480,Joe Allen,Jersey,1990
951,Phil Jones,England,1992
983,Kevin Mbabu,Switzerland,1995
998,Ivan Toney,England,1996
947,Victor Ibarbo,Colombia,1990
509,Wayne Hennessey,Jersey,1987
921,Darron Gibson,Ireland,1987
962,Jose Angel Crespo,Spain,1987
610,Pablo Zabaleta,Argentina,1985
916,Yoan Gouffran,France,1986
766,Jamaal Lascelles,England,1993
981,Kyle Lafferty,Jersey,1987
746,Danny Simpson,England,1987
727,DeAndre Yedlin,United States of America (the),1993
707,Angel Rangel,Spain,1982
992,James Wilson,England,1995
954,Kelvin Davis,England,1976
837,Jordy Clasie,Jersey,1991
810,Stephane Sessegnon,Benin,1984
684,Abdul Rahman Baba,San Marino,2004
558,Jesse Lingard,England,1992
469,Adam Federici,Australia,1985
471,Shaun MacDonald,Jersey,1988
763,Robert Elliot,San Marino,2004
853,Paul Dummett,Jersey,1991
524,Adrian Mariappa,Jamaica,1986
787,Ryan Bennett,England,1990
567,Miguel Britos,Jersey,1985
652,Kieran Trippier,England,1990
952,Gastun Ramirez,San Marino,2004
797,Youssouf Mulumbu,Congo (the Democratic Republic of the),1987
886,Ryan Shawcross,England,1987
506,Joel Campbell,Jersey,1992
500,Alex Iwobi,Nigeria,1996
539,Enner Valencia,Ecuador,1989
891,Leon Osman,England,1981
928,Wes Brown,England,1979
881,Harry Arter,Ireland,1989
661,Josh Onomah,England,1997
958,Tokelo Rantie,Jersey,1990
1037,Cameron Borthwick-Jackson,England,1997
1066,Charles N'Zogbia,France,1986
922,Andreas Pereira,Brazil,1996
476,Kolo Toure,Côte d'Ivoire,1981
657,Alexandre Song,San Marino,2004
905,Marouane Chamakh,Morocco,1984
949,Giedrius Arlauskis,Lithuania,1987
1050,Ryan Allsop,England,1992
823,Vadis Odjidja-Ofoe,Belgium,1989
799,Declan Rudd,England,1991
547,Guillermo Varela,Jersey,1993
676,Jores Okore,Denmark,1992
695,Bertrand Traore,Burkina Faso,1995
588,Leighton Baines,England,1984
613,Gael Clichy,France,1985
973,Paulo Gazzaniga,Argentina,1992
1072,Nick Powell,England,1994
760,Marcin Wasilewski,Poland,1980
698,Adam Bogdan,Hungary,1987
726,Vito Mannone,Italy,1988
780,Karl Darlow,England,1990
721,Jordi Amat,Spain,1992
1045,Matt Grimes,England,1995
829,Marvin Emnes,Jersey,1988
477,Brad Smith,Australia,1994
910,Harrison Reed,England,1995
666,Aly Cissokho,France,1987
1026,Libor Kozak,Czechia,1989
1060,Jonathan Williams,San Marino,2004
678,Mark Bunn,England,1984
826,Benik Afobe,Congo (the Democratic Republic of the),1993
827,Juan Iturbe,Jersey,1993
831,Fraser Forster,England,1988
924,Steven Pienaar,Jersey,1982
741,Jordan Pickford,England,1994
232,Jan Kirchhoff,Germany,1990
778,Henri Saivet,Senegal,1990
762,Demarai Gray,England,1996
898,Obbi Oulare,Belgium,1996
786,Ivo Pinto,Portugal,1990
650,Kevin Wimmer,Austria,1992
848,Charlie Austin,England,1989
803,Ben Foster,England,1983
575,Nordin Amrabat,Morocco,1987
777,Emmanuel Riviere,France,1990
902,Sam Byram,England,1993
937,Joao Teixeira,San Marino,2004
162,Timm Klose,Switzerland,1988
728,Lamine Kone,Côte d'Ivoire,1989
731,Dame N'Doye,Senegal,1985
734,Wahbi Khazri,Tunisia,1991
521,Emmanuel Adebayor,Jersey,1984
817,Sandro,Brazil,1989
716,Alberto Paloschi,Italy,1990
584,Joel Robles,Spain,1990
576,Mario Suarez,Spain,1987
1054,Bersant Celina,Jersey,1996
861,Giannelli Imbula,Congo (the Democratic Republic of the),1992
1059,Hiram Boateng,England,1996
538,Emmanuel Emenike,Nigeria,1987
1048,Donald Love,Scotland,1994
1047,Will Keane,Ireland,1993
869,Dionatan Teixeira,Brazil,1992
776,Seydou Doumbia,Côte d'Ivoire,1987
501,Danny Welbeck,England,1990
673,Jordan Lyden,Australia,1996
479,Kevin Stewart,Jamaica,1993
759,Daniel Amartey,Ghana,1994
711,Leroy Fer,Jersey,1990
556,Marcus Rashford,England,1997
549,Timothy Fosu-Mensah,Jersey,1998
562,James Weir,England,1995
496,Mohamed Elneny,Egypt,1992
599,Oumar Niasse,Senegal,1990
892,Stephen Kingsley,Scotland,1994
896,Jay Fulton,Scotland,1994
490,Jon Flanagan,England,1993
505,David Ospina,Colombia,1988
906,Manu Garcia,Spain,1998
906,Manu Garcia,Spain,1986
893,Sebastien Pocognoli,Belgium,1987
874,Andre Green,England,1998
478,Sheyi Ojo,England,1997
683,Matt Miazga,United States of America (the),1995
693,Jake Clarke-Salter,England,1997
691,Alexandre Pato,Brazil,1989
870,Jakob Haugaard,Denmark,1992
879,Jonathan Leko,England,1999
1042,Tom Davies,England,1998
1043,Callum Connolly,England,1997
473,Danny Ward,Jersey,1993
473,Danny Ward,England,1991
474,Connor Randall,England,1995
889,Shay Given,Ireland,1976
523,Julian Speroni,Argentina,1979
901,Kevin Toner,Ireland,1996
1036,Jack Wilshere,England,1992
920,Matthew Pennington,England,1994
1031,Tony Hibbert,England,1981
1032,Kieran Dowell,England,1997
1022,Pedro Chirivella,Spain,1997
1023,Cameron Brannagan,England,1996
1015,Rushian Hepburn-Murphy,England,1998
702,Tammy Abraham,England,1997
703,Fikayo Tomori,England,1997
1084,Jonjoe Kenny,England,1997
779,Jamie Sterry,England,1995
1070,Sullay Kaikai,Sierra Leone,1995
722,Kristoffer Nordfeldt,Sweden,1989
1079,Thomas Robson,England,1995
1080,Rees Greenwood,England,1996
1046,George Honeyman,England,1994
1014,Tyler Roberts,Jersey,1999
1013,Sam Field,England,1998
1078,Sergi Canos,Spain,1997
1697,Eldin Jakupovic,Switzerland,1984
1685,Ahmed Elmohamady,Egypt,1987
1686,Curtis Davies,England,1985
1689,Jake Livermore,England,1989
1688,Andrew Robertson,Scotland,1994
1695,Tom Huddlestone,England,1986
1693,David Meyler,Ireland,1989
1690,Sam Clucas,England,1990
1691,Robert Snodgrass,Scotland,1987
1698,Abel Hernandez,Jersey,1990
1694,Adama Diomande,Norway,1990
1680,Luis Hernandez,Spain,1989
1681,Ahmed Musa,Nigeria,1992
1737,Matt Phillips,Scotland,1991
985,Mason Holgate,England,1996
1730,Vincent Janssen,Jersey,1994
1651,Tom Heaton,England,1986
1652,Matthew Lowton,England,1989
1654,Ben Mee,England,1989
1653,Michael Keane,England,1993
1655,Stephen Ward,Ireland,1985
1656,George Boyd,Scotland,1985
1787,David Jones,England,1984
1658,Dean Marney,England,1984
1659,Scott Arfield,Canada,1988
1661,Sam Vokes,Jersey,1989
1660,Andre Gray,Jamaica,1991
1663,Johann Berg Gudmundsson,San Marino,2004
1664,Lukas Jutkiewicz,England,1989
1728,Fernando Llorente,Spain,1985
1705,Victor Valdes,Spain,1982
1757,Nsue,San Marino,2004
1706,Antonio Barragan,Spain,1987
1707,Ben Gibson,England,1993
1708,George Friend,England,1987
1710,Marten de Roon,Jersey,1991
1717,Adam Clayton,England,1989
1782,Albert Adomah,Ghana,1987
1712,Stewart Downing,England,1984
1715,Alvaro Negredo,Spain,1985
1753,David Nugent,England,1985
1711,Adam Forshaw,England,1991
343,Pierre-Emile Hojbjerg,San Marino,2004
1784,Jeremy Pied,France,1989
1722,Juan Zuoiga,San Marino,2004
1732,Nolito,Spain,1986
1027,Lynden Gooch,United States of America (the),1995
1789,Lewis Cook,England,1997
1739,Eric Bailly,Côte d'Ivoire,1994
1741,Zlatan Ibrahimovic,Sweden,1981
317,Henrikh Mkhitaryan,Armenia,1989
1749,Rob Holding,England,1995
204,Granit Xhaka,Switzerland,1992
265,Ragnar Klavan,Estonia,1985
1678,Michy Batshuayi,Belgium,1993
1760,Arthur Masuaku,Congo (the Democratic Republic of the),1993
202,Havard Nordtveit,Norway,1990
1703,Gokhan Tore,Turkey,1992
1740,Paul Pogba,France,1993
1764,Ramadan Sobhi,Egypt,1997
1657,Steven Defour,Belgium,1988
1662,Aiden O'Neill,Australia,1998
1669,Marko Grujic,Serbia,1996
1692,Shaun Maloney,Scotland,1983
1726,Abdoulaye Doucoure,Mali,1993
1017,Matej Vydra,Czechia,1992
1785,Nampalys Mendy,Senegal,1992
1071,Papy Djilobodji,Senegal,1988
1754,Joel Asoro,Sweden,1999
1709,Cristhian Stuani,Jersey,1986
1718,Daniel Ayala,Spain,1990
1672,Jonathan Calleri,Argentina,1993
1675,Ashley Fletcher,England,1995
1683,Ryan Fraser,Scotland,1994
971,Harry Winks,England,1996
332,Joel Matip,Cameroon,1991
1725,Christian Kabasele,Belgium,1991
1723,Roberto Pereyra,Argentina,1991
1724,Isaac Success,Nigeria,1996
91,Ron-Robert Zieler,Germany,1989
1736,Oliver McBurnie,Scotland,1996
1719,Javier Manquillo,Spain,1994
1665,James Tarkowski,England,1992
1670,Steve Mandanda,France,1985
1687,Harry Maguire,England,1993
1713,Viktor Fischer,Denmark,1994
1731,Claudio Bravo,Jersey,1983
337,Leroy Sane,Germany,1996
1765,Jonathan Benteke,Belgium,1995
1743,Bruno Martins Indi,Jersey,1992
1699,Shkodran Mustafi,Germany,1992
1700,Lucas Perez,Spain,1988
1746,Jeff Hendrick,Ireland,1992
1642,Simone Zaza,Italy,1991
1763,Stefano Okaka,Italy,1989
1039,Jason Denayer,Belgium,1995
1720,Didier Ndong,San Marino,2004
1676,David Luiz,Brazil,1987
1682,Islam Slimani,Algeria,1988
314,Ilkay Gundogan,San Marino,2004
1055,Aleix Garcia,Spain,1997
1738,Hal Robson-Kanu,Jersey,1989
1674,Sofiane Feghouli,Algeria,1989
1701,Borja Bastun,San Marino,2004
1714,Jordan Rhodes,Scotland,1990
1729,Georges-Kevin Nkoudou,San Marino,2004
1742,Lee Grant,England,1983
1671,Ezekiel Fryers,San Marino,2004
1702,Mike van der Hoorn,Jersey,1992
37,Loris Karius,Germany,1993
1684,David Marshall,Scotland,1985
1696,Markus Henriksen,Norway,1992
1621,Marcos Alonso,Spain,1990
