"teamID","venueID","venueName","capacity","address","city","country"
111,1,San Siro,"80,018",Piazzale Angelo Moratti,Milan,Italy
158,2, Mendizorrotza Stadium,"19,840","Cervantes Ibilbidea, 20",Vitoria-Gasteiz,Spain
208,3,Powe Horse Stadium,"15,274","C. Alcalde Santiago Martínez Cabrejas, 5",Almeria,Spain
224,4,Stade de la Licorne,"12,999",25 Rue du Chapitre,Amiens,France
167,5,Raymond Kopa Stadium,"18,752",Bd Pierre de Coubertin,Angers,France
262,6,Bielefelder Alm,"26,515",Melanchthonstraße 31a,Bielefeld,Germany
83,7,Emirates Stadium,"60,260","Hornsey Road, N7 7AJ",London,United Kingdom
71,8,Villa Park,"42,682","Trinity Road, B6 6HE",Birmingham,England
107,9,Stadio Atleti Azzurri d'Italia (gewiss),"21,747","Viale Giulio Cesare, 18",Bergamo,Italy
147,10,San Mamés Stadium,"53,331","P.º Rafael Moreno ""Pitxitxi""",Bilbao,Spain
143,11,Metropolitano Stadium,"66,456","Av. de Luis Aragonés, 4",Madrid,Spain
121,12,Augsburg Arena,"30,660",Bürgermeister-Ulrich-Straße 90,Augsburg,Germany
148,13,Camp Nou,"99,354","C. d'Arístides Maillol, 12",Barcelona,Spain
119,14,BayArena,"30,210",Bismarckstraße 122-124,Leverkusen,Germany
117,15,Allianz Arena,"75,024",Werner-Heisenberg-Allee 25,München,Germany
222,16,Ciro Vigorito,"25,000",Via Santa Colomba,Benevento,Italy
97,17,Renato Dall'Ara,"38,279","Via Andrea Costa, 174",Bologna,Italy
176,18,Nouveau Stade de Bordeaux,"42,115",Cr Jules Ladoumegue,Bordeaux,France
129,19,Westfalenstadion,"81,365",Strobelallee 50,Dortmund,Germany
130,20,Borussia-Park,"50,057",Hennes Weisweiler Allee 1,Mönchengladbach,Germany
73,21,Dean Court,"11,379","Kings Park, Boscombe, BH7 7AF",Bournemouth,United Kingdom
242,22,Stadio Mario Rigamonti,"16,743","Via Giovanni Novagani, 9",Brescia,Italy
241,23,Stade Francis-Le Blé,"15,931",26 Rue de Quimper,Brest,France
220,24,Falmer Stadium,"31,800","Village Way, BN1 9BL",Brighton,United Kingdom
92,25,Turf Moor,"21,944","Turf Moor, 52-56 Harry Potts Way, BB10 4BX",Burnley,United Kingdom
261,26,Nuevo Mirandilla,"20,724",Pl. de Madrid,Cadiz,Spain
165,27,Stade Michel d'Ornano,"20,972",23 Bd Georges Pompidou,Caen,France
116,28,Unipol Domus,"16,416",Via Raimondo Carta Raspi,Cagliari,Italy
227,29,Cardiff City Stadium,"33,280","Leckwith Rd, CF11 8AZ",Cardiff,United Kingdom
103,30,Stadio Sandro Cabassi,"5,510","Via Carlo Marx, 26",Carpi,Italy
152,31,Estadio Municipal de Balaídos,"29,000",Av. de Balaídos,Vigo,Spain
203,32,Stadio Dino Manuzzi,"23,860","Via Dello Stadio, 124",Cesena,Italy
80,33,Stamford Bridge,"41,837","Fulham Road, SQ6 1HS",London,United Kingdom
109,34,Stadio Marcantonio Bentegodi,"39,211","Piazzale Olimpia, 2",Verona,Italy
206,35,Estadio El Arcángel,"21,989",C. José Ramón García Fernández,Córdoba,Spain
115,36,Stadio Ezio Scida,"16,547",Via Giovanni Paolo II,Crotone,Italy
78,37,Selhurst Park,"25,456",Holmesdale Road SE25 6PU,London,United Kingdom
127,38,Merck-Stadion am Böllenfalltor,"17,000",Nieder-Ramstädter Str. 170,Darmstadt,Germany
139,39,Estadio Municipal de Riazor,"34,899",Rúa Manuel Murguía,A Coruña,Spain
181,40,Stade Gaston Gérard,"15,995",Pl. Gaston Gérard,Dijon,France
156,41,Ipurua Futbol Zelaia,"8,164","Ipurua Kalea, 2",Eibar,Spain
132,42,Waldstadion,"51,500",Mörfelder Landstraße 362,Frankfurt,Germany
207,43,Estadio Martínez Valero,"31,388",03208 Elche,Alicante,Spain
108,44,Stadio comunale Carlo Castellani,"16,800",Via delle Olimpiadi,Empoli,Italy
141,45,Estadi Cornellà-El Prat (RCDE),"40,000","Av. del Baix Llobregat, 100",Barcelona,Spain
72,46,Goodison Park,"39,572","Goodison Rd, L4 4EL",Liverpool,United Kingdom
209,47,Stade Joseph-Moynat,"6,000",56 Av. du Général de Gaulle,Thonon-les-Bains,France
134,48,RheinEnergieStadion,"50,000",Aachener Str. 999,Koln,Germany
110,49,Stadio Artemio Franchi,"43,147","Viale Manfredo Fanti, 4",Firenze,Italy
233,50,Merkur Spielarena,"54,600",Arena-Straße 1,Düsseldorf,Germany
135,51,Europa-Park Stadion,"34,700",Achim-Stocker-Straße 1,Freiburg,Germany
112,52,Stadio Benito Stirpe,"16,227",Viale Olimpia,Frosinone,Italy
228,53,Craven Cottage,"25,700","Stevenage Road, SQ6 6HH",London,United Kingdom
101,54,Stadio comunale Luigi Ferraris,"36,599","Via Giovanni de Prà, 1",Genova,Italy
142,55,Estadio Coliseum Alfonso Pérez ,"17,000","Coliseum Alfonso Perez, Av. Teresa de Calcuta",Madrid,Spain
173,56,Stade Ange Casanova,"8,000",Rte de Mezzavia ,Ajaccio,France
223,57,Estadi Montilivi,"13,500","Avinguda de Montilivi, 141",Girona,Spain
155,58,Nuevo Estadio de Los Cármenes,"19,336",C. Pintor Manuel Maldonado,Granada,Spain
169,59,Stade municipal de Roudourou,"18,462",Rue du Manoir,Guingamp,France
118,60,Volksparkstadion,"57,000",Sylvesterallee 7,Hamburg,Germany
128,61,Niedersachsenstadion,"49,200",Robert-Enke-Straße 3,Hanover,Germany
122,62,Olympiastadion,"74,475",Olympischer Platz 3,Berlin,Germany
120,63,Rhein-Neckar-Arena,"30,150",Dietmar-Hopp-Straße 1,Sinsheim,Germany
219,64,Kirklees Stadium,"24,500",Stadium Way HD1 6PG,Huddersfield,United Kingdom
91,65,MKM Stadium,"25,586",Walton Street HU3 6HU,Hull,United Kingdom
126,66,Audi Sportpark,"15,800",Am Sportpark 1,Ingolstadt,Germany
106,67,San Siro,"80,018",Piazzale Angelo Moratti,Milan,Italy
98,68,Juventus Stadium,"41,507","Corso Gaetano Scirea, 50",Torino,Italy
144,69,Estadio Gran Canaria,"32,392",C. Fondos de Segura,Las Palmas,Spain
96,70,Stadio Olimpico,"72,698",Viale dei Gladiatori,Rome,Italy
