name,code,born
Albian Ajeti,SUI,1997
Albin Ekdal,SWE,1989
Aldo Angoula,FRA,1981
Aldo Kalulu,FRA,1996
Aleandro Rosi,ITA,1987
Aleix Febas,ESP,1996
Aleix Garcia,ESP,1997
Aleix Vidal,ESP,1989
Alejandro Arribas,ESP,1989
Alejandro Bedoya,USA,1987
Alejandro Blanco,ESP,1998
Alejandro Blesa,ESP,2002
Alejandro Faurlin,ARG,1986
Alejandro Gonzalez,URU,1988
Alejandro Gutierrez Mozo,ESP,1995
Alejandro Lopez,ESP,1997
Alejandro Pozo Pozo,ESP,1999
Alejandro Pozuelo,ESP,1991
Alejandro Rodriguez,ESP,1991
Aleksa Terzic,SRB,1999
Aleksandar Dragovic,AUT,1991
Aleksandar Ignjovski,SRB,1991
Aleksandar Jovanovic,SRB,1992
Aleksandar Katai,SRB,1991
Aleksandar Kolarov,SRB,1985
Aleksandar Mitrovic,SRB,1994
Aleksandar Pantic,SRB,1992
Aleksandar Pesic,SRB,1992
Aleksandar Radovanovic,SRB,1993
Aleksandar Sedlar,SRB,1991
Aleksandar Tonev,BUL,1990
Aleksandar Trajkovski,MKD,1992
Aleksandr Golovin,RUS,1996
Aleksandr Kokorin,RUS,1991
Aleksei Miranchuk,RUS,1995
Alen Halilovic,CRO,1996
Ales Mateju,CZE,1996
Alessandro Agostini,ITA,1979
Alessandro Bastoni,ITA,1999
Alessandro Berardi,ITA,1991
Alessandro Bruno,ITA,1983
Alessandro Buongiorno,ITA,1999
Alessandro Crescenzi,ITA,1991
Alessandro Deiola,ITA,1995
Alessandro Di Pardo,ITA,1999
Alessandro Diamanti,ITA,1983
Alessandro Florenzi,ITA,1991
Alessandro Frara,ITA,1982
Alessandro Gamberini,ITA,1981
Alessandro Gazzi,ITA,1983
Alessandro Iacobucci,ITA,1991
Alessandro Longhi,ITA,1989
Alessandro Lucarelli,ITA,1977
Alessandro Mastalli,ITA,1996
Alessandro Matri,ITA,1984
Alessandro Murgia,ITA,1996
Alessandro Piu,ITA,1996
Alessandro Rossi,ITA,1997
Alessandro Schopf,AUT,1994
Alessandro Semprini,ITA,1998
Alessandro Tripaldelli,ITA,1999
Alessandro Tuia,ITA,1990
Alessio Cerci,ITA,1987
Alessio Cragno,ITA,1994
Alessio da Cruz,CPV,1997
Alessio Romagnoli,ITA,1995
Alex,BRA,1982
Alex Alegria,ESP,1992
Alex Baena,ESP,2001
Alex Barrera,ESP,1991
Alex Berenguer,ESP,1995
Alex Bergantinos,ESP,1985
Alex Bruce,NIR,1984
Alex Cantero,ESP,2000
Alex Collado,ESP,1999
Alex Cordaz,ITA,1983
Alex Felip,ESP,1992
Alex Fernandez,ESP,1992
Alex Ferrari,ITA,1994
Alex Gallar,ESP,1992
Alex Galvez,ESP,1989
Alex Granell,ESP,1988
Alex Iwobi,NGA,1996
Alex Lopez,ESP,1988
Alex Manninger,AUT,1977
Alex Martin,ESP,1998
Alex Martinez,ESP,1990
Alex McCarthy,ENG,1989
Alex Menendez,ESP,1991
Alex Meret,ITA,1997
Alex Millan,ESP,1999
Alex Moreno,ESP,1993
Alex Mula,ESP,1996
Alex Oxlade-Chamberlain,ENG,1993
Alex Pritchard,ENG,1993
Alex Remiro,ESP,1995
Alex Robles,ESP,1999
Alex Sandro,BRA,1991
Alex Sola,ESP,1999
Alex Song,CMR,1987
Alex Telles,BRA,1992
Alexander,ARG,1988
Alexander Baumjohann,GER,1987
Alexander Djiku,GHA,1994
Alexander Esswein,GER,1990
Alexander Farnerud,SWE,1984
Alexander Fuchs,GER,1997
Alexander Hack,GER,1993
Alexander Isak,SWE,1999
Alexander Kacaniklic,SWE,1991
Alexander Madlung,GER,1982
Alexander Meier,GER,1983
Alexander Merkel,KAZ,1992
Alexander Milosevic,SWE,1992
Alexander Nubel,GER,1996
Alexander Schwolow,GER,1992
Alexander Soderlund,NOR,1987
Alexander Sorloth,NOR,1995
Alexander Tettey,NOR,1986
Alexandre Coeff,FRA,1992
Alexandre Geijo,ESP,1982
Alexandre Jankewitz,SUI,2001
Alexandre Lacazette,FRA,1991
Alexandre Lauray,FRA,1997
Alexandre Letellier,FRA,1990
Alexandre Llovet,FRA,1997
Alexandre Mendy,GNB,1994
Alexandre Olliero,FRA,1996
Alexandre Oukidja,ALG,1988
Alexandre Pato,BRA,1989
Alexandre Raineau,FRA,1986
Alexandru Maxim,ROU,1990
Alexandru Mitrita,ROU,1995
Alexi Peuget,FRA,1990
Alexis,ESP,1985
Alexis Alegue,FRA,1996
Alexis Araujo,POR,1996
Alexis Blin,FRA,1996
Alexis Busin,FRA,1995
Alexis Claude-Maurice,FRA,1998
Alexis Flips,FRA,2000
Alexis Mac Allister,ARG,1998
Alexis Mane,SEN,1997
Alexis Saelemaekers,BEL,1999
Alexis Sanchez,CHI,1988
Alexis Thebaux,FRA,1985
Alexis Trouillet,FRA,2000
Alexis Zapata,COL,1995
Alexy Bosetti,FRA,1993
Alfa Semedo,GNB,1997
Alfie Mawson,ENG,1994
Alfon,ESP,1999
Alfons Amade,GER,1999
Alfonso Espino,URU,1992
Alfonso Pedraza,ESP,1996
Alfred Duncan,GHA,1993
Alfreo Finnbogason,ISL,1989
Alfred Gomis,SEN,1993
Alfred N'Diaye,SEN,1990
Alfredo Donnarumma,ITA,1990
Alfredo Morales,USA,1990
Alfredo Ortuno,ESP,1991
Alharbi El Jadeyaoui,MAR,1986
Alhassan Wakaso,GHA,1992
Ali Adnan Kadhim,IRQ,1993
Ali Ahamada,COM,1991
Alin Tosca,ROU,1992
Alioune Fall,FRA,1994
Alireza Jahanbakhsh,IRN,1993
Alisson,BRA,1992
Aljaz Struna,SVN,1990
Alkhaly Momo Cisse,GUI,2002
Allan,BRA,1991
Allan,BRA,1997
Allan McGregor,SCO,1982
Allan Nyom,CMR,1988
Allan Saint-Maximin,FRA,1997
Allan Tchaptchet,FRA,2001
Almamy Toure,MLI,1996
Almen Abdi,SUI,1986
Almog Cohen,ISR,1988
Alois Confais,FRA,1996
Alou Diarra,FRA,1981
Alphonse Areola,FRA,1993
Alphonso Davies,CAN,2000
Alvaro Arbeloa,ESP,1983
Alvaro Arroyo,ESP,1988
Alvaro Bastida,ESP,2004
Alvaro Bravo,ESP,1998
Alvaro Cejudo,ESP,1984
Alvaro Dominguez,ESP,1989
Alvaro Fernandez,ESP,1998
Alvaro Garcia,ESP,1992
Alvaro Gimenez,ESP,1991
Alvaro Gonzalez,URU,1984
Alvaro Gonzalez,ESP,1990
Alvaro Jimenez,ESP,1995
Alvaro Lemos,ESP,1993
Alvaro Medran,ESP,1994
Alvaro Morata,ESP,1992
Alvaro Negredo,ESP,1985
Alvaro Odriozola,ESP,1995
Alvaro Pereira,URU,1985
Alvaro Tejero,ESP,1996
Alvaro Vadillo,ESP,1994
Alvaro Vazquez,ESP,1991
Aly Abeid,MTN,1997
Aly Cissokho,FRA,1987
Aly Malle,MLI,1998
Aly Ndom,FRA,1996
Amad Diallo,CIV,2002
Amadou Diambo,GHA,2001
Amadou Diawara,GUI,1997
Amadou Haidara,MLI,1998
Amadou Traore,FRA,2002
Amath,SEN,1996
Amato Ciciretti,ITA,1993
Amauri,ITA,1980
Ambroise Oyongo,CMR,1991
Amer Gojak,BIH,1997
Amin Younes,GER,1993
Amine Adli,FRA,2000
Amine Bassi,FRA,1997
Amine Chermiti,TUN,1987
Amine Gouiri,FRA,2000
Amine Harit,MAR,1997
Amir Abrashi,ALB,1990
Amir Rrahmani,KVX,1994
Amos Pieper,GER,1998
Amos Youga,CTA,1992
Anaitz Arbilla,ESP,1987
Anas Ouahim,GER,1997
Anastasios Donis,GRE,1996
Ander Barrenetxea,ESP,2001
Ander Capa,ESP,1992
Ander Gayoso,ESP,1993
Ander Guevara,ESP,1997
Ander Herrera,ESP,1989
Ander Iturraspe,ESP,1989
Anders Christiansen,DEN,1990
Anders Konradsen,NOR,1990
Anderson,BRA,1988
Anderson Bamba,BRA,1988
Anderson Lima,BRA,1999
Anderson Lucoqui,ANG,1997
Anderson Ordonez,ECU,1994
Andi Lila,ALB,1986
Andi Zeqiri,SUI,1999
Andoni Gorosabel,ESP,1996
Andoni Iraola,ESP,1982
Andoni Lopez,ESP,1996
Andre Ayew,GHA,1989
Andre Biyogo Poko,GAB,1993
Andre Carrillo,PER,1991
Andre Gomes,POR,1993
Andre Gray,JAM,1991
Andre Green,ENG,1998
Andre Hahn,GER,1990
Andre Hoffmann,GER,1993
Andre Ramalho,BRA,1992
Andre Schurrle,GER,1990
Andre Silva,POR,1995
Andre Wisdom,ENG,1993
Andre-Frank Zambo Anguissa,CMR,1995
Andre-Pierre Gignac,FRA,1985
Andrea Adorante,ITA,2000
Andrea Barberis,ITA,1993
Andrea Barzagli,ITA,1981
Andrea Beghetto,ITA,1994
Andrea Belotti,ITA,1993
Andrea Bertolacci,ITA,1991
Andrea Carboni,ITA,2001
Andrea Cistana,ITA,1997
Andrea Coda,ITA,1985
Andrea Consigli,ITA,1987
Andrea Conti,ITA,1994
Andrea Cossu,ITA,1980
Andrea Costa,ITA,1986
Andrea Danzi,ITA,1999
Andrea Favilli,ITA,1997
Andrea Fulignati,ITA,1994
Andrea Ghezzi,ITA,2001
Andrea Ghion,ITA,2000
Andrea La Mantia,ITA,1991
Andrea Lazzari,ITA,1984
Andrea Masiello,ITA,1986
Andrea Nalini,ITA,1990
Andrea Papetti,ITA,2002
Andrea Petagna,ITA,1995
Andrea Pinamonti,ITA,1999
Andrea Pirlo,ITA,1979
Andrea Poli,ITA,1989
Andrea Raggi,ITA,1984
Andrea Ranocchia,ITA,1988
Andrea Rispoli,ITA,1988
Andrea Seculin,ITA,1990
Andrea Tabanelli,ITA,1990
Andreas Beck,GER,1987
Andreas Christensen,DEN,1996
Andreas Cornelius,DEN,1993
Andreas Hirzel,SUI,1993
Andreas Ivanschitz,AUT,1983
Andreas Luthe,GER,1987
Andreas Pereira,BRA,1996
Andreas Skov Olsen,DEN,1999
Andreas Voglsammer,GER,1992
Andreas Weimann,AUT,1991
Andrei Girotto,BRA,1992
Andrej Kotnik,SVN,1995
Andrej Kramaric,CRO,1991
Andres Fernandez,ESP,1986
Andres Guardado,MEX,1986
Andres Iniesta,ESP,1984
Andres Ponce,VEN,1996
Andres Prieto,ESP,1993
Andres Solano,COL,1998
Andres Tello,COL,1996
Andreu Fontas,ESP,1989
Andrew Eleftheriou,ENG,1997
Andrew Gravillon,GLP,1998
Andrew Hjulsager,DEN,1995
Andrew Robertson,SCO,1994
Andrew Surman,ENG,1986
Andrey Galabinov,BUL,1988
Andri Fannar Baldursson,ISL,2002
Andrija Balic,CRO,1997
Andriy Lunin,UKR,1999
