name,code,born
Borja Fernandez,ESP,1995
Borja Garces,ESP,1999
Borja Garcia,ESP,1990
Borja Herrera,ESP,1993
Borja Iglesias,ESP,1993
Borja Lasso,ESP,1994
Borja Mayoral,ESP,1997
Borja Sainz,ESP,2001
Borja Valero,ESP,1985
Borja Valle,ESP,1992
Borja Viguera,ESP,1987
Borna Sosa,CRO,1998
Borys Tashchy,UKR,1993
Bosko Jankovic,SRB,1984
Bosko Sutalo,CRO,2000
Bostjan Cesar,SVN,1982
Botond Balogh,HUN,2002
Boubacar Kamara,FRA,1999
Boubacar Sylla,MLI,1991
Boubacar Traore,MLI,2001
Boubakar Kouyate,MLI,1997
Boubakary Soumare,FRA,1999
Boukary Drame,SEN,1985
Boulaye Dia,SEN,1996
Bouna Sarr,SEN,1992
Brad Guzan,USA,1984
Brad Jones,AUS,1982
Brad Smith,AUS,1994
Bradley Johnson,ENG,1987
Brahim Diaz,ESP,1999
Brain Oddei,ITA,2002
Brais Mendez,ESP,1997
Bram Nuytinck,NED,1990
Brandao,BRA,1980
Brandon,ESP,1995
Brandon Borrello,AUS,1995
Brandon Comley,MSR,1995
Brandon Mason,ENG,1997
Brandon Pierrick,ENG,2001
Brandon Soppy,FRA,2002
Brandon Williams,ENG,2000
Branimir Hrgota,SWE,1993
Branislav Ivanovic,SRB,1984
Brayan Perea,COL,1993
Brayan Vera,COL,1999
Brede Hangeland,NOR,1981
Breel Embolo,SUI,1997
Brendan Chardonnet,FRA,1994
Brendan Galloway,ZIM,1996
Brian Behrendt,GER,1991
Brian Fernandez,ARG,1994
Brice Dja Djedje,CIV,1990
Brice Samba,CGO,1994
Bridge Ndilu,FRA,2000
Bright Gyamfi,GHA,1996
Brighton Labeau,MTQ,1996
Brown Ideye,NGA,1988
Bruma,POR,1994
Bruno,ESP,1980
Bruno Alves,POR,1981
Bruno Ecuele Manga,GAB,1988
Bruno Fernandes,POR,1994
Bruno Gama,POR,1987
Bruno Gaspar,ANG,1993
Bruno Gonzalez,ESP,1990
Bruno Guimaraes,BRA,1997
Bruno Henrique,BRA,1990
Bruno Henrique,BRA,1989
Bruno Jordao,POR,1998
Bruno Martella,ITA,1992
Bruno Martins Indi,NED,1992
Bruno Pereirinha,POR,1988
Bruno Peres,BRA,1990
Bruno Petkovic,CRO,1994
Bruno Soriano,ESP,1984
Bruno Zuculini,ARG,1993
Bryan,ESP,2001
Bryan Cabezas,ECU,1997
Bryan Constant,FRA,1994
Bryan Cristante,ITA,1995
Bryan Dabo,BFA,1992
Bryan Mbeumo,CMR,1999
Bryan Oviedo,CRC,1990
Bryan Passi,CGO,1997
Bryan Pele,FRA,1992
Bryan Reynolds,USA,2001
Bryan Soumare,FRA,1999
Bukayo Saka,ENG,2001
Burak Yilmaz,TUR,1985
Burgui,ESP,1993
Cafu,POR,1993
Caglar Soyuncu,TUR,1996
Caio Henrique Oliveira Silva,BRA,1997
Caio Rangel,BRA,1996
Caiuby,BRA,1988
Cala,ESP,1989
Caleb Stanko,USA,1993
Caleb Watts,AUS,2002
Callum Connolly,ENG,1997
Callum Hudson-Odoi,ENG,2000
Callum McManaman,ENG,1991
Callum Paterson,SCO,1994
Callum Robinson,IRL,1995
Callum Slattery,ENG,1999
Callum Wilson,ENG,1992
Calum Chambers,ENG,1995
Cameron Borthwick-Jackson,ENG,1997
Cameron Brannagan,ENG,1996
Cameron Jerome,ENG,1986
Camillo Ciano,ITA,1990
Can Bozdogan,GER,2001
Cani,ESP,1981
Caoimhin Kelleher,IRL,1998
Cardenas,ESP,1997
Carl Jenkinson,ENG,1992
Carl Medjani,ALG,1985
Carlao,BRA,1986
Carles Alena,ESP,1998
Carles Gil,ESP,1992
Carles Perez,ESP,1998
Carles Planas,ESP,1991
Carlo Pinsoglio,ITA,1990
Carlos Akapo,EQG,1993
Carlos Apna Embalo,GNB,1994
Carlos Ascues,PER,1992
Carlos Bacca,COL,1986
Carlos Caballero,ESP,1984
Carlos Calderon,ESP,1995
Carlos Carbonero,COL,1990
Carlos Carmona,CHI,1987
Carlos Carmona,ESP,1987
Carlos Castro,ESP,1995
Carlos Clerc,ESP,1992
Carlos Dominguez,ESP,2001
Carlos Eduardo,BRA,1989
Carlos Fernandez,ESP,1996
Carlos Gruezo,ECU,1995
Carlos Gurpegui,ESP,1980
Carlos Isaac,ESP,1998
Carlos Kameni,CMR,1984
Carlos Martinez,ESP,1986
Carlos Neva,ESP,1996
Carlos Salcedo,MEX,1993
Carlos Sanchez,COL,1986
Carlos Selfa,ESP,1992
Carlos Soler,ESP,1997
Carlos Tevez,ARG,1984
Carlos Vela,MEX,1989
Carlos Vigaray,ESP,1994
Carlos Vinicius,BRA,1995
Carlos Zambrano,PER,1989
Carlton Cole,ENG,1983
Carney Chukwuemeka,ENG,2003
Casemiro,BRA,1992
Casimir Ninga,CHA,1993
Catena,ESP,1994
Cauly Oliveira Souza,BRA,1995
gazim Suljic,BIH,1996
Cebio Soukou,BEN,1992
Cedric Bakambu,COD,1991
Cedric Barbosa,FRA,1976
Cedric Brunner,SUI,1994
Cedric Cambon,FRA,1986
Cedric Carrasso,FRA,1981
Cedric Makiadi,COD,1984
Cedric Mongongu,COD,1989
Cedric Soares,POR,1991
Cedric Teuchert,GER,1997
Cedric Varrault,FRA,1980
Cedric Yambere,CTA,1990
Celso Borges,CRC,1988
Cengiz Under,TUR,1997
Cenk Tosun,TUR,1991
Cesar Azpilicueta,ESP,1989
Cesar Falletti,URU,1992
Cesare Bovo,ITA,1983
Cesare Natali,ITA,1979
Cesc Fabregas,ESP,1987
Ceyhun Gulselam,TUR,1987
Cezary Wilk,POL,1986
Chadrac Akolo,COD,1995
Chaka Traore,CIV,2004
Chaker Alhadhur,COM,1991
Chancel Mbemba,COD,1994
Chaouki Ben Saada,TUN,1984
Charalambos Lykogiannis,GRE,1993
Charles,BRA,1984
Charles Abi,FRA,2000
Charles Aranguiz,CHI,1989
Charles Costes,FRA,2002
Charles Diers,FRA,1981
Charles N'Zogbia,FRA,1986
Charles Traore,MLI,1992
Charlie Adam,SCO,1985
Charlie Austin,ENG,1989
Charlie Daniels,ENG,1986
Charlie Taylor,ENG,1993
Charlison Benschop,CUW,1989
Charly Charrier,FRA,1986
Charly Musonda Jr.,BEL,1996
Che Adams,SCO,1996
Chechu,ESP,1982
Cheick Diabate,MLI,1988
Cheick Doucoure,MLI,2000
Cheick Doukoure,CIV,1992
Cheick Keita,MLI,1996
Cheick Souare,FRA,2002
Cheick Timite,CIV,1997
Cheick Tiote,CIV,1986
Cheick Traore,MLI,1995
Cheikh M'Bengue,SEN,1988
Cheikh N'Doye,SEN,1986
Cheikh Niasse,SEN,2000
Cheikh Tidiane Sabaly,SEN,1999
Cheikhou Kouyate,SEN,1989
Chema,ESP,1992
Chidozie Awaziem,NGA,1997
Chima Okoroji,NGA,1997
Chimuanya Ugochukwu,FRA,2004
Chinedu Obasi,NGA,1986
Chory Castro,URU,1984
Chris Baird,NIR,1982
Chris Basham,ENG,1988
Chris Brunt,NIR,1984
Chris Fuhrich,GER,1998
Chris Lowe,GER,1989
Chris Mavinga,COD,1991
Chris Mepham,WAL,1997
Chris Philipps,LUX,1994
Chris Ramos,ESP,1997
Chris Richards,USA,2000
Chris Smalling,ENG,1989
Chris Wood,NZL,1991
Chrislain Matsima,FRA,2002
Christian Abbiati,ITA,1977
Christian Atsu,GHA,1992
Christian Benteke,BEL,1990
Christian Bruls,BEL,1988
Christian Celesia,ITA,2002
Christian Clemens,GER,1991
Christian Dalle Mura,ITA,2002
Christian Eriksen,DEN,1992
Christian Fuchs,AUT,1986
Christian Gebauer,AUT,1993
Christian Gentner,GER,1985
Christian Grob,GER,1989
Christian Gunter,GER,1993
Christian Kabasele,BEL,1991
Christian Kouakou,CIV,1991
Christian Kouame,CIV,1997
Christian Maggio,ITA,1982
Christian Mathenia,GER,1992
Christian Norgaard,DEN,1994
Christian Oliva,URU,1996
Christian Pander,GER,1983
Christian Pastina,ITA,2001
Christian Puggioni,ITA,1981
Christian Pulisic,USA,1998
Christian Santos,VEN,1988
Christian Schulz,GER,1983
Christian Strohdiek,GER,1988
Christian Trasch,GER,1987
Christoph Baumgartner,AUT,1999
Christoph Daferner,GER,1998
Christoph Janker,GER,1985
Christoph Kramer,GER,1991
Christoph Moritz,GER,1990
Christoph Zimmermann,GER,1993
Christophe Herelle,MTQ,1992
Christophe Jallet,FRA,1983
Christophe Kerbrat,FRA,1986
Christophe Mandanne,FRA,1985
Christopher Antwi-Adjei,GHA,1994
Christopher Glombard,FRA,1989
Christopher Jullien,FRA,1993
Christopher Lenz,GER,1994
Christopher Maboulou,CGO,1990
Christopher Martins,LUX,1997
Christopher Nkunku,FRA,1997
Christopher Rocchia,FRA,1998
Christopher Schindler,GER,1990
Christopher Scott,GER,2002
Christopher Trimmel,AUT,1987
Chuba Akpom,ENG,1995
Chuca,ESP,1997
Churripi,ESP,1994
Ciaran Clark,IRL,1989
Cifu,ESP,1990
Ciprian Tatarusanu,ROU,1986
Ciro Immobile,ITA,1990
Claiton,BRA,1984
Clarck N'Sikulu,COD,1992
Claud Adjapong,ITA,1998
Claudio Beauvue,GLP,1988
Claudio Bravo,CHI,1983
Claudio Marchisio,ITA,1986
Claudio Pizarro,PER,1978
Claudio Terzi,ITA,1984
Claudio Yacob,ARG,1987
Cleber,BRA,1990
Clemens Fritz,GER,1980
Clement Chantome,FRA,1987
Clement Depres,FRA,1994
Clement Grenier,FRA,1991
Clement Lenglet,FRA,1995
Clement Maury,FRA,1985
Clement Michelin,FRA,1997
Clement Vidal,FRA,2000
Clint Hill,ENG,1978
Clinton N'Jie,CMR,1993
Coke,ESP,1987
Cole Kpekawa,ENG,1996
Colin Dagba,FRA,1998
Collin Quaner,GER,1991
Connor Goldson,ENG,1992
Connor Randall,ENG,1995
Connor Roberts,WAL,1995
Connor Wickham,ENG,1993
Conor Coady,ENG,1993
Conor Gallagher,ENG,2000
Conor Hourihane,IRL,1991
Conor Townsend,ENG,1993
Constant Djakpa,CIV,1986
Constantin Nica,ROU,1993
Corentin Jean,FRA,1995
Corentin Tolisso,FRA,1994
Corona,ESP,1981
Costel Pantilimon,ROU,1987
Craig Cathcart,NIR,1989
Craig Dawson,ENG,1990
Craig Gardner,ENG,1986
Cristhian Stuani,URU,1986
Cristian Alvarez,ARG,1985
Cristian Ansaldi,ARG,1986
Cristian Battocchio,ITA,1992
Cristian Benavente,PER,1994
Cristian Dell'Orco,ITA,1994
Cristian Espinoza,ARG,1995
Cristian Gamboa,CRC,1989
Cristian Ganea,ROU,1992
Cristian Herrera,ESP,1991
Cristian Ledesma,ITA,1982
Cristian Lopez,ESP,1989
Cristian Molinaro,ITA,1983
Cristian Raimondi,ITA,1981
Cristian Rivera,ESP,1997
Cristian Rodriguez,URU,1985
Cristian Romero,ARG,1998
Cristian Tello,ESP,1991
Cristian Zaccardo,ITA,1981
Cristian Zapata,COL,1986
Cristiano Biraghi,ITA,1992
Cristiano Del Grosso,ITA,1983
Cristiano Lombardi,ITA,1995
Cristiano Piccini,ITA,1992
Cristiano Ronaldo,POR,1985
Cristo Gonzalez,ESP,1997
Cristobal Jorquera,CHI,1988
Cristobal Montiel,ESP,2000
Cucho,COL,1999
Cuco Martina,CUW,1989
Curro,ESP,1996
Curtis Davies,ENG,1985
Curtis Jones,ENG,2001
Cyriack Garel,FRA,1996
Cyril Thereau,FRA,1983
Cyrus Christie,IRL,1992
Daam Foulon,BEL,1999
Daan Dierckx,BEL,2003
Daichi Kamada,JPN,1996
Daishawn Redan,NED,2001
Dalbert Henrique,BRA,1993
Dale Stephens,ENG,1989
Daley Blind,NED,1990
Daley Sinkgraven,NED,1995
Dame N'Doye,SEN,1985
Damian Kadzior,POL,1992
Damian Musto,ARG,1987
Damian Suarez,URU,1988
Damien Da Silva,FRA,1988
Damien Delaney,IRL,1981
Damien Le Tallec,FRA,1990
Damir Ceter,COL,1997
Damjan Dokovic,CRO,1990
Dan Agyei,ENG,1997
Dan Burn,ENG,1992
Dan Gosling,ENG,1990
Dan Ndoye,SUI,2000
Dan Nlundulu,ENG,1999
Dan-Axel Zagadou,FRA,1999
Dane Scarlett,ENG,2004
Dani Alves,BRA,1983
Dani Calvo,ESP,1994
Dani Carvajal,ESP,1992
Dani Castellano,ESP,1987
Dani Ceballos,ESP,1996
Dani Escriche,ESP,1998
Dani Garcia,ESP,1990
Dani Gimenez,ESP,1983
Dani Gomez,ESP,1998
Dani Ndi,CMR,1995
Dani Nieto,ESP,1991
Dani Ojeda,ESP,1994
Dani Olmo,ESP,1998
Dani Osvaldo,ITA,1986
Dani Plomer,ESP,1998
Dani Raba,ESP,1995
Dani Rodriguez,ESP,1988
Dani Romera,ESP,1995
Dani Schahin,GER,1989
Daniel Amartey,GHA,1994
Daniel Ayala,ESP,1990
Daniel Baier,GER,1984
Daniel Bessa,ITA,1993
Daniel Brosinski,GER,1988
Daniel Bruckner,GER,1981
Daniel Caligiuri,ITA,1988
Daniel Candeias,POR,1988
Daniel Carrico,POR,1988
Daniel Ciofani,ITA,1985
Daniel Congre,FRA,1985
Daniel Didavi,GER,1990
Daniel Fuzato,BRA,1997
Daniel Ginczek,GER,1991
Daniel Halfar,GER,1988
Daniel Heuer Fernandes,POR,1992
Daniel James,WAL,1997
Daniel Jebbison,ENG,2003
Daniel Lafferty,NIR,1989
Daniel Larsson,SWE,1987
Daniel Maldini,ITA,2001
Daniel Martin,ESP,1998
Daniel Molina Orta,ESP,1996
Daniel Opare,GHA,1990
Daniel Pacheco,ESP,1991
Daniel Parejo,ESP,1989
Daniel Pavlovic,BIH,1988
Daniel Pinillos,ESP,1992
Daniel Podence,POR,1995
Daniel Schwaab,GER,1988
Daniel Sturridge,ENG,1989
Daniel Torres,COL,1989
Daniel Wass,DEN,1989
Daniele Baselli,ITA,1992
Daniele Bonera,ITA,1981
Daniele Capelli,ITA,1986
Daniele Conti,ITA,1979
Daniele Croce,ITA,1982
Daniele De Rossi,ITA,1983
Daniele Dessena,ITA,1987
Daniele Galloppa,ITA,1985
Daniele Gastaldello,ITA,1983
Daniele Padelli,ITA,1985
Daniele Ragatzu,ITA,1991
Daniele Rugani,ITA,1994
Daniele Verde,ITA,1996
Danijel Milicevic,BIH,1986
Danijel Petkovic,MNE,1993
Danijel Subasic,CRO,1984
Danilo,BRA,1991
Danilo Avelar,BRA,1989
Danilo Barbosa,BRA,1996
Danilo Cataldi,ITA,1994
Danilo D'Ambrosio,ITA,1988
Danilo Larangeira,BRA,1984
Danilo Pereira,POR,1991
Danilo Soares,BRA,1991
Danilo Soddimo,ITA,1987
Danny Blum,GER,1991
Danny da Costa,GER,1993
Danny Drinkwater,ENG,1990
Danny Graham,ENG,1985
Danny Ings,ENG,1992
Danny Latza,GER,1989
Danny Rose,ENG,1990
Danny Simpson,ENG,1987
Danny Ward,WAL,1993
Danny Ward,ENG,1991
Danny Welbeck,ENG,1990
Danny Williams,USA,1989
Dante,BRA,1983
Dany Nounkeu,CMR,1986
Daouda Peeters,BEL,1999
Dara O'Shea,IRL,1999
Darijo Srna,CRO,1982
Dario Benedetto,ARG,1990
Dario Cvitanich,ARG,1984
Dario Dainelli,ITA,1979
Dario Kresic,CRO,1984
Dario Lezcano,PAR,1990
Dario Maresic,AUT,1999
Dario Poveda,ESP,1997
Dario Zuparic,BIH,1992
Darko Brasanac,SRB,1992
Darko Churlinov,MKD,2000
Darko Lazovic,SRB,1990
Darnell Furlong,ENG,1995
Darren Bent,ENG,1984
Darren Fletcher,SCO,1984
Darren Randolph,IRL,1987
Darron Gibson,IRL,1987
Darwin Machis,VEN,1993
Daryl Janmaat,NED,1989
David Abraham,ARG,1986
David Alaba,AUT,1992
David Alba,ESP,1999
David Alcibiade,FRA,1991
David Barral,ESP,1983
David Brooks,WAL,1997
David Button,ENG,1989
David Carmona,ESP,1997
David Cobeno,ESP,1982
David Concha,ESP,1996
David Costas,ESP,1995
David de Gea,ESP,1990
David Djigla,BEN,1995
David Ducourtioux,FRA,1978
David Ferreiro,ESP,1988
David Garcia,ESP,1982
David Garcia,ESP,1994
David Gil,ESP,1994
David Goldar,ESP,1994
David Hancko,SVK,1997
David Ivan,SVK,1995
David Jones,ENG,1984
David Junca,ESP,1993
David Kinsombi,COD,1995
David Lomban,ESP,1987
David Lopez,ESP,1989
David Luiz,BRA,1987
David Marshall,SCO,1985
David Martin,ENG,1986
David McGoldrick,IRL,1987
David Meyler,IRL,1989
David N'Gog,FRA,1989
David Navarro,ESP,1980
David Nugent,ENG,1985
David Oberhauser,FRA,1990
David Ospina,COL,1988
David Otto,GER,1999
David Pereira da Costa,POR,2001
David Pizarro,CHI,1979
David Ramirez,CRC,1993
David Rozehnal,CZE,1980
David Silva,ESP,1986
David Simon,ESP,1988
David Soria,ESP,1993
David Timor,ESP,1989
David Yelldell,USA,1981
David Zurutuza,ESP,1986
Davide Angelo Ghislandi,ITA,2001
Davide Astori,ITA,1987
Davide Bassi,ITA,1985
Davide Bertoncini,ITA,1991
Davide Biondini,ITA,1983
Davide Biraschi,ITA,1994
Davide Brivio,ITA,1988
Davide Calabria,ITA,1996
Davide Di Gennaro,ITA,1988
Davide Di Molfetta,ITA,1996
Davide Faraoni,ITA,1991
Davide Moro,ITA,1982
Davide Riccardi,ITA,1996
Davide Santon,ITA,1991
Davide Succi,ITA,1981
Davide Vitturini,ITA,1997
Davide Zappacosta,ITA,1992
Davie Selke,GER,1995
Davinson Sanchez,COL,1996
Davor Lovren,CRO,1998
Davy Klaassen,NED,1993
Davy Propper,NED,1991
Davy Roef,BEL,1994
Dawid Kownacki,POL,1997
Dayot Upamecano,FRA,1998
Dean Hammond,ENG,1983
Dean Henderson,ENG,1997
Dean Marney,ENG,1984
Dean Whitehead,ENG,1982
DeAndre Yedlin,USA,1993
Declan Rice,ENG,1999
Declan Rudd,ENG,1991
Dedryck Boyata,BEL,1990
Deian Boldor,ROU,1995
Deivid,ESP,1989
Dejan Drazic,SRB,1995
Dejan Joveljic,SRB,1999
Dejan Kulusevski,SWE,2000
Dejan Lazarevic,SVN,1990
Dejan Lekic,SRB,1985
Dejan Lovren,CRO,1989
Dele Alli,ENG,1996
Demarai Gray,ENG,1996
Demba Thiam,SEN,1998
Deme N'Diaye,SEN,1985
Demeaco Duhaney,ENG,1998
Demetri Mitchell,ENG,1997
Denilho Cleonise,NED,2001
Denis Bouanga,GAB,1994
Denis Cheryshev,RUS,1990
Denis Dragus,ROU,1999
Denis Odoi,GHA,1988
Denis Petric,SRB,1988
Denis Suarez,ESP,1994
Denis Vavro,SVK,1996
Denis Zakaria,SUI,1996
Denis-Will Poha,FRA,1997
Deniz Hummet,TUR,1996
Dennis Aogo,GER,1987
Dennis Appiah,FRA,1992
Dennis Borkowski,GER,2002
Dennis Diekmeier,GER,1989
Dennis Eckert,GER,1997
Dennis Geiger,GER,1998
Dennis Jastrzembski,POL,2000
Dennis Man,ROU,1998
Dennis Praet,BEL,1994
Dennis Smarsch,GER,1999
Dennis Srbeny,GER,1994
Denys Bain,FRA,1993
Denys Boyko,UKR,1988
Denys Oliynyk,UKR,1987
Dereck Kutesa,SUI,1997
Derek Boateng,GHA,1983
Derrick Luckassen,NED,1995
Devante Parker,GER,1996
Deyovaisio Zeefuik,NED,1998
Deyverson,BRA,1991
Diadie Samassekou,MLI,1996
Diafra Sakho,SEN,1989
Diallo Guidileye,MTN,1989
Dickson Nwakaeme,NGA,1986
Didac Vila,ESP,1989
Didier Bouanga,FRA,1995
Didier Digard,FRA,1986
Didier Drogba,CIV,1978
Didier Ibrahim Ndong,GAB,1994
Didier Ya Konan,CIV,1984
Diego,BRA,1988
Diego Alende,ESP,1997
Diego Alves,BRA,1985
Diego Barrios,ESP,1994
Diego Benaglio,SUI,1983
Diego Capel,ESP,1988
Diego Carlos,BRA,1993
Diego Castro,ESP,1982
Diego Colotto,ARG,1981
Diego Contento,GER,1990
Diego Costa,ESP,1988
Diego Demme,GER,1991
Diego Falcinelli,ITA,1991
Diego Farias,BRA,1990
Diego Godin,URU,1986
Diego Gomez,ARG,1984
Diego Gonzalez,ESP,1995
Diego Lainez,MEX,2000
Diego Laxalt,URU,1993
Diego Llorente,ESP,1993
Diego Lopez,ESP,1981
Diego Mainz,ESP,1982
Diego Marino,ESP,1990
Diego Novaretti,ARG,1985
Diego Perotti,ARG,1988
Diego Poyet,URU,1995
Diego Reyes,MEX,1992
Diego Rico,ESP,1993
Diego Rolan,URU,1993
Dieumerci Mbokani,COD,1985
Dilane Bakwa,FRA,2002
Dimitar Berbatov,BUL,1981
Dimitri Bisoli,ITA,1994
Dimitri Cavare,FRA,1995
Dimitri Foulquier,FRA,1993
Dimitri Lienard,FRA,1988
Dimitri Oberlin,SUI,1997
Dimitri Payet,FRA,1987
Dimitris Limnios,GRE,1998
Dimitris Nikolaou,GRE,1998
Dimitris Siovas,GRE,1988
Dimitry Bertaud,FRA,1998
Diogo Dalot,POR,1999
Diogo Figueiras,POR,1991
Diogo Jota,POR,1996
Diogo Salomao,POR,1988
Dion Lopy,SEN,2002
Dion Moise Sahi,CIV,2001
Dion Pereira,ENG,1999
Dion Ruffo Luci,ITA,2001
Dionatan Teixeira,BRA,1992
Divock Origi,BEL,1995
Djakaridja Kone,BFA,1986
Djamel Bakar,COM,1989
Djamel Benlamri,ALG,1989
Djamel Mesbah,ALG,1984
Djavan Anderson,NED,1995
Djegui Koita,FRA,1999
Djene,TOG,1991
Djibril Cisse,FRA,1981
Djibril Sidibe,FRA,1992
Djibril Sow,SUI,1997
Dodi Lukebakio,BEL,1997
Dodo,BRA,1992
Domagoj Bradaric,CRO,1999
Domenico Berardi,ITA,1994
Domenico Criscito,ITA,1986
Domenico Maietta,ITA,1982
Domingo Cisma,ESP,1982
Domingos Duarte,POR,1995
Domingos Quina,POR,1999
Dominic Calvert-Lewin,ENG,1997
Dominic Gape,ENG,1994
Dominic Maroh,SVN,1987
Dominic Solanke,ENG,1997
Dominick Drexler,GER,1990
Dominik Furman,POL,1992
Dominik Kaiser,GER,1988
Dominik Kohr,GER,1994
Dominik Stroh-Engel,GER,1985
Dominique Heintz,GER,1993
Donald Love,SCO,1994
Donis Avdijaj,KVX,1996
Donny van de Beek,NED,1997
Donovan Leon,GUF,1992
Doria,BRA,1994
Dorian Caddy,FRA,1995
Dorian Leveque,FRA,1989
Douglas,BRA,1990
Douglas Costa,BRA,1990
Douglas Luiz,BRA,1998
Douglas Santos,BRA,1994
Dragos Grigore,ROU,1986
Dries Mertens,BEL,1987
Driss Khalid,MAR,1999
Driss Trichard,FRA,1995
Drissa Camara,CIV,2002
Drissa Diakite,MLI,1985
Duda,POR,1980
Duje galeta-Car,CRO,1996
Duje Cop,CRO,1990
Duncan Watmore,ENG,1994
Durel Avounou,CGO,1997
Dusan Basta,SRB,1984
Dusan Svento,SVK,1985
Dusan Tadic,SRB,1988
Dusan Veskovac,SRB,1986
Dusan Vlahovic,SRB,2000
Duvan Zapata,COL,1991
Dwight Gayle,ENG,1990
Dwight McNeil,ENG,1999
Dwight Tiendalli,NED,1985
Dylan Bahamboula,CGO,1995
Dylan Bronn,TUN,1995
Dylan Gissi,SUI,1991
Dylan Lempereur,FRA,1998
Dylan Saint-Louis,CGO,1995
Dzenis Burnic,GER,1998
Ebenezer Ofori,GHA,1995
Eberechi Eze,ENG,1998
Ebrima Colley,GAM,2000
Ebrima Darboe,GAM,2001
Eddie Nketiah,ENG,1999
Eddie Salcedo,ITA,2001
Eddy Gnahore,FRA,1993
Eddy Silvestre,AZE,1992
Eddy Sylvestre,FRA,1999
Eden Hazard,BEL,1991
Eden Massouema,CGO,1997
Edenilson,BRA,1989
Eder,ITA,1986
Eder,POR,1987
Eder Militao,BRA,1998
Ederson,BRA,1986
Ederson,BRA,1993
Edgar Badia,ESP,1992
Edgar Barreto,PAR,1984
Edgar Gonzalez,ESP,1997
Edgar Ie,POR,1994
Edgar Mendez,ESP,1990
Edgar Mendez,ESP,1990
Edgar Prib,GER,1989
Edgar Salli,CMR,1992
Edgar Sevikyan,RUS,2001
Edgaras Dubickas,LTU,1998
Edimar Fraga,BRA,1986
Edimilson Fernandes,SUI,1996
Edin Dzeko,BIH,1986
Edinson Cavani,URU,1987
Edmilson Indjai,GNB,2000
Edmond Tapsoba,BFA,1999
Edoardo Bove,ITA,2002
Edoardo Goldaniga,ITA,1993
Edoardo Vergani,ITA,2001
Edouard Mendy,SEN,1992
Edouard Michut,FRA,2003
Edson Braafheid,NED,1983
Edu Albacar,ESP,1979
Edu Caballer,ESP,1981
Edu Exposito,ESP,1996
Eduard Lowen,GER,1997
Eduardo Camavinga,FRA,2002
Eduardo Henrique,BRA,1995
Eduardo Vargas,CHI,1989
Edwin Maanane,FRA,1995
Efthimis Koulouris,GRE,1996
Egor Filipenko,BLR,1988
Eiji Kawashima,JPN,1983
El Bilal Toure,MLI,2001
El-Hadji Ba,MTN,1993
Elderson Echiejile,NGA,1988
Eldin Jakupovic,SUI,1984
Eldor Shomurodov,UZB,1995
Elhadji Pape Diaw,SEN,1994
Eliaquim Mangala,FRA,1991
Elias Bordner,GER,2002
Elias Kachunga,COD,1992
Elie Youan,FRA,1999
Elif Elmas,MKD,1999
Elio Capradossi,ITA,1996
Eliot Matazo,BEL,2002
Eliran Atar,ISR,1987
Eliseo Falcon,ESP,1997
Eljero Elia,NED,1987
Elkin Soto,COL,1980
Elliot Anderson,SCO,2002
Elliot Lee,ENG,1994
Ellyes Skhiri,TUN,1995
Eloi Amagat,ESP,1985
Elseid Hysaj,ALB,1994
Elvis Rexhbecaj,GER,1997
Emanuel Cecchini,ARG,1996
Emanuel Insua,ARG,1991
Emanuel Mammana,ARG,1996
Emanuel Vignato,ITA,2000
Emanuele Giaccherini,ITA,1985
Emanuele Ndoj,ALB,1996
Emanuele Suagher,ITA,1992
Emanuele Terranova,ITA,1987
Emanuele Torrasi,ITA,1999
Emerson,BRA,1999
Emerson Hyndman,USA,1996
Emerson Palmieri,ITA,1994
Emi Buendia,ARG,1996
Emil Audero,ITA,1997
Emil Berggreen,DEN,1993
Emil Forsberg,SWE,1991
Emil Hallfreosson,ISL,1984
Emil Krafth,SWE,1994
Emile Smith Rowe,ENG,2000
Emiliano Insua,ARG,1989
Emiliano Martinez,ARG,1992
Emiliano Moretti,ITA,1981
Emiliano Rigoni,ARG,1993
Emiliano Sala,ARG,1990
Emiliano Velazquez,URU,1994
Emiliano Viviano,ITA,1985
Emilio Nsue,EQG,1989
Emir Spahic,BIH,1980
Emmanuel Adebayor,TOG,1984
Emmanuel Agyemang-Badu,GHA,1990
Emmanuel Amankwaa Akurugu,GHA,2001
Emmanuel Apeh,NGA,1996
Emmanuel Boateng,GHA,1996
Emmanuel Bourgaud,FRA,1987
Emmanuel Cascione,ITA,1983
Emmanuel Culio,ARG,1983
Emmanuel Dennis,NGA,1997
Emmanuel Emenike,NGA,1987
Emmanuel Gyasi,GHA,1994
Emmanuel Imorou,BEN,1988
Emmanuel Mayuka,ZAM,1990
Emmanuel Riviere,FRA,1990
Emre Can,GER,1994
Emre Colak,TUR,1991
Emre Mor,TUR,1997
Emrehan Gedikli,GER,2003
Enaut Mendia,ESP,1999
Enaut Zubikarai,ESP,1984
Enda Stevens,IRL,1990
Eneko Boveda,ESP,1988
Eneko Capilla,ESP,1995
Enes Unal,TUR,1997
Enis Bardhi,MKD,1995
Enner Valencia,ECU,1989
Enock Kwateng,FRA,1997
Enric Gallego,ESP,1986
Enric Saborit,ESP,1992
Enrico Alfonso,ITA,1988
Enrico Bearzotti,ITA,1996
Enrico Brignola,ITA,1999
Enrico Valentini,ITA,1989
Enrique Sola,ESP,1986
Enzo Crivelli,FRA,1995
Enzo Ebosse,CMR,1999
Enzo Fernandez,ESP,1995
