managerID,teamID,managerName,startDate,endDate
289,128,Kenan Kocak,201911,202106
252,128,Mirko Slomka,201907,201911
290,128,Thomas Doll,201901,201906
277,128,André Breitenreiter,201703,201901
291,128,Daniel Stendel,201604,201703
292,128,Thomas Schaaf,201601,201604
293,128,Michael Frontzeck,201504,201512
256,128,Tayfun Korkut,201401,201504
294,129,Lucien Favre,201807,202012
295,129,Peter Stöger,201712,201806
254,129,Peter Bosz,201707,201712
43,129,Thomas Tuchel,201507,201705
59,129,Jürgen Klopp,200807,201506
296,130,Marco Rose,201907,202106
246,130,Dieter Hecking,201612,201906
297,130,André Schubert,201511,201612
294,130,Lucien Favre,201102,201509
298,131,Oliver Glasner,201907,202106
250,131,Bruno Labbadia,201802,201906
263,131,Martin Schmidt,201709,201802
299,131,Andries Jonker,201702,201709
300,131,Valérien Ismaël,201611,201702
246,131,Dieter Hecking,201301,201610
301,132,Adi Hütter,201807,202106
243,132,Niko Kovac,201603,201806
302,132,Armin Veh,201507,201603
292,132,Thomas Schaaf,201407,201505
302,132,Armin Veh,201107,201406
303,133,Pellegrino Matarazzo,201912,202210
304,133,Tim Walter,201907,201912
305,133,Nico Willig,201904,201906
266,133,Markus Weinzierl,201810,201904
256,133,Tayfun Korkut,201801,201810
247,133,Hannes Wolf,201609,201801
271,133,Jos Luhukay,201607,201609
306,133,Jürgen Kramny,201512,201606
307,133,Alexander Zorniger,201507,201511
262,133,Huub Stevens,201411,201506
302,133,Armin Veh,201407,201411
262,133,Huub Stevens,201403,201406
308,133,Thomas Schneider,201308,201403
249,134,Markus Gisdol,201911,202104
279,134,Achim Beierlorzer,201907,201911
309,134,André Pawlak,201904,201906
286,134,Markus Anfang,201807,201904
310,134,Stefan Ruthenbeck,201712,201806
295,134,Peter Stöger,201307,201712
311,135,Christian Streich,201112,na
261,136,Julian Nagelsmann,201907,202106
312,136,Ralf Rangnick,201807,201906
16,136,Ralph Hasenhüttl,201607,201805
312,136,Ralf Rangnick,201507,201606
279,136,Achim Beierlorzer,201502,201506
307,136,Alexander Zorniger,201207,201502
82,137,Javier Gracia Carlos,201406,201605
112,137,Juande Ramos,201605,201612
113,137,Marcelo Romero,201612,201703
114,137,Jose Miguel Gonzalez,201703,201801
115,137,Jose Gonzalez,201801,201806
116,137,Juan Ramon Lopez Muniz,201806,202001
117,137,Sergio Pellicer,202001,202106
46,138,Unai Emery,201301,201606
118,138,Jorge Sampaoli,201606,201707
119,138,Eduardo Berizzo,201707,201712
120,138,Vincenzo Montella,201712,201804
121,138,Joaquin Caparros,201804,201805
122,138,Pablo Machin,201805,201906
123,138,Julen Lopetegui,201906,202210
124,139,Victor Fernandez,201407,201504
125,139,Victor Sanchez,201504,201605
126,139,Gaizka Garitano,201606,201702
127,139,Pepe Mel,201702,201710
128,139,Cristobal Parralo,201710,201802
129,139,Clarence Seedorf,201802,201805
29,140,David Moyes,201411,201511
130,140,Jagoba Arrasate,201306,201411
131,140,Eusebio Sacristan,201511,201803
132,140,Asier Garitano,201805,201812
133,140,Imanol Alguacil,201812,na
149,141,Vicente Moreno,202008,202205
150,141,Francisco Rufete,202006,202008
151,141,Abelardo Fernandez,201912,202006
122,141,Pablo Machin,201910,201912
